algorithm,threads,n,alphabet,time,cache-misses
pcs,7,100000,256,0.005180,116978
pcs,8,100000,256,0.006638,179593
pcs,9,100000,256,0.007012,191602
pcs,10,100000,256,0.007205,174400
pcs,11,100000,256,0.008240,182568
pcs,12,100000,256,0.008002,167646
pcs,1,100000,256,0.002575,13066
pcs,2,100000,256,0.005499,151596
pcs,3,100000,256,0.004012,88240
pcs,4,100000,256,0.004474,115810
pcs,5,100000,256,0.004736,111542
pcs,6,100000,256,0.004975,126934
pcs,7,100000,256,0.005413,139474
pcs,8,100000,256,0.005168,137136
pcs,9,100000,256,0.006872,183425
pcs,10,100000,256,0.007801,147291
pcs,11,100000,256,0.007827,192517
pcs,12,100000,256,0.007528,208206
prs,1,100000,256,0.016778,7550
prs,2,100000,256,0.012733,18416
prs,3,100000,256,0.011926,15073
prs,4,100000,256,0.011098,17557
prs,5,100000,256,0.010906,18383
prs,6,100000,256,0.010854,17021
prs,7,100000,256,0.011253,25927
prs,8,100000,256,0.011204,19725
prs,9,100000,256,0.011396,33899
prs,10,100000,256,0.011729,29252
prs,11,100000,256,0.012073,30748
prs,12,100000,256,0.011919,38800
prs,1,100000,256,0.016881,8541
prs,2,100000,256,0.012882,9170
prs,3,100000,256,0.012014,19170
prs,4,100000,256,0.011215,14868
prs,5,100000,256,0.010888,18253
prs,6,100000,256,0.011015,14525
prs,7,100000,256,0.010675,24559
prs,8,100000,256,0.010878,26308
prs,9,100000,256,0.011429,29162
prs,10,100000,256,0.011799,34121
prs,11,100000,256,0.012065,26976
prs,12,100000,256,0.011422,29268
prs,1,100000,256,0.016907,7766
prs,2,100000,256,0.012878,7924
prs,3,100000,256,0.011885,22029
prs,4,100000,256,0.011065,15825
prs,5,100000,256,0.010920,19370
prs,6,100000,256,0.011236,16954
prs,7,100000,256,0.011476,22403
